country,new_cases,tests_done,population,testing_rate,positivity_rate,Week,deaths,weekly_cfr,population_ce,testing_rate_ce,tests_done_ce,new_cases_ce,deaths_ce,positivity_rate_ce
Austria,2041,12339,8858775,139.2856236,16.54104871,15,151,0.07398334149926507,-0.3677767704501799,-0.591083771289474,-0.44382119005999643,-0.1849969605102157,-0.06834760720849456,2.252247714649213
Austria,855,58488,8858775,660.2267243,1.4618383259999999,16,106,0.1239766081871345,-0.3677767704501799,-0.1772955555412596,-0.24922813144252087,-0.29337348566016,-0.12962285579346325,-0.37951766295663625
Austria,472,33443,8858775,377.5126922,1.411356637,17,93,0.19703389830508475,-0.3677767704501799,-0.4018578616300838,-0.35483352165844484,-0.32837197565377607,-0.1473245942735653,-0.38832820130247925
Austria,336,26598,8858775,300.2446727,1.263252876,18,60,0.17857142857142858,-0.3677767704501799,-0.4632325465615299,-0.3836963244545319,-0.34079963789694,-0.192259776569209,-0.4141766602447716
Austria,307,42153,8858775,475.83328389999997,0.7282992909999999,19,19,0.06188925081433225,-0.3677767704501799,-0.3237609286828009,-0.3181067119646657,-0.3434496541105559,-0.24808833639106936,-0.5075417826733949
Austria,363,46001,8858775,519.2704409,0.78911328,20,13,0.03581267217630854,-0.3677767704501799,-0.289258403026727,-0.30188113633875735,-0.33833238142219424,-0.25625836953573183,-0.4969279543197481
Austria,267,39348,8858775,444.16976389999996,0.6785605370000001,21,11,0.04119850187265917,-0.3677767704501799,-0.34891154825860793,-0.3299343470038219,-0.347104848887957,-0.258981713917286,-0.5162226570274889
Austria,231,46677,8858775,526.9012928000001,0.494890417,22,29,0.12554112554112554,-0.3677767704501799,-0.28319714852387246,-0.29903069737744914,-0.3503945241876181,-0.23447161448329853,-0.5482784908813361
Austria,184,41063,8858775,463.52909969999996,0.448091956,23,4,0.021739130434782608,-0.3677767704501799,-0.33353425319014735,-0.32270283395849114,-0.35468937805106443,-0.2685134192527256,-0.556446197694136
Austria,192,35243,8858775,397.8315286,0.5447890360000001,24,5,0.026041666666666668,-0.3677767704501799,-0.38571842657929156,-0.3472435954301093,-0.3539583390955842,-0.2671517470619485,-0.5395697153864412
Austria,233,15775,8858775,178.0720246,1.4770206019999998,25,11,0.04721030042918455,-0.3677767704501799,-0.5602753830791392,-0.4293328642152404,-0.350211764448748,-0.258981713917286,-0.37686790960002464
Austria,315,61905,8858775,698.7986488,0.508844197,26,12,0.0380952380952381,-0.3677767704501799,-0.14665752794968884,-0.2348199214857306,-0.3427186151550756,-0.25762004172650893,-0.5458431461812121
Austria,634,45284,8858775,511.1767711,1.4000529990000001,27,5,0.007886435331230283,-0.3677767704501799,-0.2956872779626785,-0.30490445695304436,-0.3135684368053014,-0.2671517470619485,-0.3903010183381083
Austria,599,48936,8858775,552.4014325,1.224047736,28,1,0.001669449081803005,-0.3677767704501799,-0.26294215752083067,-0.28950533996088806,-0.3167667322355274,-0.27259843582505683,-0.42101910938160897
Austria,713,51929,8858775,586.1871421,1.3730285580000001,29,4,0.005610098176718092,-0.3677767704501799,-0.23610586360125727,-0.276884979293439,-0.3063494271199341,-0.2685134192527256,-0.3950175775187148
Austria,841,99229,8858775,1120.12101,0.8475344909999999,30,2,0.0023781212841854932,-0.3677767704501799,0.18800262434298035,-0.07743858451551115,-0.2946528038322504,-0.27123676363427973,-0.48673173604888
Austria,875,57416,8858775,648.1257284,1.523965445,31,6,0.006857142857142857,-0.3677767704501799,-0.18690748574893398,-0.25374835417406294,-0.29154588827145944,-0.2657900748711714,-0.3686746548261783
Austria,711,56554,8858775,638.3952634999999,1.257205503,32,3,0.004219409282700422,-0.3677767704501799,-0.19463648179850915,-0.25738308551229916,-0.3065321868588042,-0.2698750914435027,-0.41523210456059295
Austria,1276,56622,8858775,639.1628638999999,2.2535410259999997,33,7,0.0054858934169279,-0.3677767704501799,-0.19402676987618853,-0.25709635496589534,-0.2549025606280128,-0.26442840268039436,-0.24134227431507474
Austria,1888,76497,8858775,863.5166826,2.468070643,34,4,0.00211864406779661,-0.3677767704501799,-0.015820507764354775,-0.17329091952802397,-0.1989780805337751,-0.2685134192527256,-0.20390055129947765
Austria,1838,77105,8858775,870.3799339999999,2.383762402,35,1,0.000544069640914037,-0.3677767704501799,-0.01036896526325179,-0.17072721111311953,-0.20354707400552655,-0.27259843582505683,-0.218614817103878
Austria,2037,83733,8858775,945.1984050000001,2.432732614,36,2,0.0009818360333824251,-0.3677767704501799,0.04906002119702039,-0.14277941609011519,-0.1853624799879558,-0.27123676363427973,-0.2100680759156016
